Course Code - Course Name,Location,Session Type
CS112 - Computer Programming for Engineering,Fab Lab 203,Lecture
CS112 - Computer Programming for Engineering,Fab Lab 203,Lab
CS212 - Computer Programming for CS,Jackson Lab 221,Lecture
CS212 - Computer Programming for CS,Jackson Lab 222,Discussion
CS212 - Computer Programming for CS,Apt Hall 216,Lecture
CS212 - Computer Programming for CS,Jackson Lab 221,Lab
CS212 - Computer Programming for CS,Apt Hall 216,Period
CS213 - Object-Oriented Programming,Apt Hall 217,Lecture
CS213 - Object-Oriented Programming,Apt Hall 217,Lab
CS213 - Object-Oriented Programming,Nutor Hall 100,Lab
CS213 - Object-Oriented Programming,Nutor Hall 216,Lecture
CS213 - Object-Oriented Programming,Jackson Lab 222,Lab
CS221 - Discrete Structures and Theory,Databank Foundation Hall 218,Lecture
CS221 - Discrete Structures and Theory,Databank Foundation Hall 218,Lab
CS222 - Data Structures and Algorithms,Apt Hall 216,Lecture
CS222 - Data Structures and Algorithms,Databank Foundation Hall 218,Lab
CS254 - Introduction to Artificial Intelligence,Apt Hall 217,Lab
CS254 - Introduction to Artificial Intelligence,Apt Hall 217,Lecture
CS313 - Intermediate Computer Programming,Jackson Hall 115,Lecture
CS313 - Intermediate Computer Programming,Jackson Hall 115,Lab
CS313 - Intermediate Computer Programming,Jackson Hall 116,Lecture
CS313 - Intermediate Computer Programming,Jackson Hall 116,Lab
CS323 - Database Management / Database Systems,Nutor Hall 100,Lecture
CS323 - Database Management / Database Systems,Nutor Hall 100,Lab
CS330 - Hardware and Systems Fundamentals,Jackson Hall 115,Lecture
CS330 - Hardware and Systems Fundamentals,Jackson Hall 115,Lab
CS330 - Hardware and Systems Fundamentals,Nutor Hall 216,Lecture
CS330 - Hardware and Systems Fundamentals,Nutor Hall 216,Lab
CS331 - Computer Organization and Architecture,D-Lab 102,Lecture
CS331 - Computer Organization and Architecture,Science Lab,Lab
CS331 - Computer Organization and Architecture,Bio Lab,Lab
CS331 - Computer Organization and Architecture,Bio Lab,Lecture
CS331 - Computer Organization and Architecture,D-Lab 102,Lab
CS341 - Web Technologies,Jackson Lab 221,Lecture
CS341 - Web Technologies,Jackson Lab 221,Lab
CS341 - Web Technologies,Jackson Hall 115,Lecture
CS341 - Web Technologies,D-Lab 102,Lecture
CS341 - Web Technologies,Databank Foundation Hall 218,Lab
CS341-LAB - Web Technologies-LAB,Apt Hall 216,Lab
CS353 - Introduction to AI Robotics,Apt Hall 217,Lecture
CS353 - Introduction to AI Robotics,Jackson Lab 222,Lab
CS361 - Introduction to Modelling & Simulation,Jackson Lab 222,Lecture
CS361 - Introduction to Modelling & Simulation,Jackson Lab 222,Lab
CS410 - CSIS Capstone Seminar,Nutor Hall 100,Seminar
CS410 - CSIS Capstone Seminar,Nutor Hall 100,Set up for grading only
CS413 - Concepts of Programming Languages,Jackson Lab 221,Lecture
CS413 - Concepts of Programming Languages,Jackson Hall 116,Discussion
CS415 - Software Engineering,Jackson Lab 222,Lab
CS415 - Software Engineering,Jackson Lab 222,Lecture
CS415 - Software Engineering,Jackson Lab 222,Period
CS415 - Software Engineering,Jackson Lab 222,Discussion
CS424 - Advanced Database Systems,D-Lab 102,Lecture
CS424 - Advanced Database Systems,Apt Hall 216,Lab
CS432 - Networks and Data Communication,Nutor Hall 216,Lecture
CS432 - Networks and Data Communication,Apt Hall 216,Lab
CS433 - Operating Systems / Operating Systems and Systems Administration,Norton-Motulsky 207A,Lecture
CS433 - Operating Systems / Operating Systems and Systems Administration,D-Lab 102,Lab
CS433 - Operating Systems / Operating Systems and Systems Administration,D-Lab 102,Lecture
CS442 - E-Commerce,Jackson Lab 222,Lecture
CS442 - E-Commerce,Jackson Lab 222,Lab
CS442 - E-Commerce,Jackson Lab 221,Lecture
CS442 - E-Commerce,Fab Lab 303,Lab
CS443 - Mobile Web Programming / Mobile Application Development,Jackson Lab 221,Lecture
CS443 - Mobile Web Programming / Mobile Application Development,Jackson Lab 221,Lab
CS451 - Computer Graphics,D-Lab 102,Lecture
CS451 - Computer Graphics,D-Lab 102,Lab
CS456 - Algorithm Design and Analysis,Nutor Hall 100,Lecture
CS456 - Algorithm Design and Analysis,Nutor Hall 115,Lab
CS456 - Algorithm Design and Analysis,Nutor Hall 216,Lab
CS456 - Algorithm Design and Analysis,Jackson Hall 115,Lecture
CS458 - Internet of Things,Fab Lab 203,Lecture
CS458 - Internet of Things,Fab Lab 303,Lab
CS458 - Internet of Things,Science Lab,Lecture
CS461 - Data Science,D-Lab 102,Lecture
CS461 - Data Science,Apt Hall 217,Lab
CS462 - Cloud Computing,Jackson Lab 221,Lecture
CS462 - Cloud Computing,D-Lab 102,Lab
CS462 - Cloud Computing,D-Lab 102,Lecture
CS462 - Cloud Computing,Science Lab,Lab
CS464 - Deep Learning,Jackson Lab 221,Lecture
CS464 - Deep Learning,Jackson Lab 222,Lab
ECON100 - Principles of Economics,Jackson Hall 115,Lecture
ECON100 - Principles of Economics,Jackson Hall 116,Discussion
ECON100 - Principles of Economics,Jackson Hall 116,Lecture
ECON100 - Principles of Economics,Jackson Hall 115,Discussion
ECON100 - Principles of Economics,Nutor Hall 100,Lecture
ECON100 - Principles of Economics,Nutor Hall 100,Discussion
ECON100 - Principles of Economics,Apt Hall 216,Discussion
ECON100 - Principles of Economics,Apt Hall 217,Lecture
ECON101 - Microeconomics,Apt Hall 217,Lecture
ECON101 - Microeconomics,Apt Hall 217,Discussion
ECON101 - Microeconomics,Jackson Hall 115,Lecture
ECON201 - Principles of Microeconomics,Jackson Lab 222,Lecture
ECON201 - Principles of Microeconomics,Norton-Motulsky 207A,Discussion
ECON201 - Principles of Microeconomics,Jackson Hall 115,Lecture
ECON201 - Principles of Microeconomics,Apt Hall 216,Discussion
ECON201 - Principles of Microeconomics,Apt Hall 216,Lecture
ECON202 - Principles of Macroeconomics,Databank Foundation Hall 218,Lecture
ECON202 - Principles of Macroeconomics,Databank Foundation Hall 218,Discussion
ECON202 - Principles of Macroeconomics,Apt Hall 217,Lecture
ECON202 - Principles of Macroeconomics,Radichel MPR,Discussion
ECON231 - Mathematics for Economists,Apt Hall 216,Lecture
ECON231 - Mathematics for Economists,Apt Hall 216,Discussion
ECON231 - Mathematics for Economists,Apt Hall 217,Lecture
ECON231 - Mathematics for Economists,Norton-Motulsky 207A,Discussion
ECON301 - Intermediate Microeconomic Theory I,Jackson Lab 221,Lecture
ECON301 - Intermediate Microeconomic Theory I,Norton-Motulsky 207A,Discussion
ECON303 - Intermediate Macroeconomic Theory I,Apt Hall 216,Lecture
ECON303 - Intermediate Macroeconomic Theory I,Apt Hall 216,Discussion
ECON451 - Development Economics,Nutor Hall 100,Lecture
ECON451 - Development Economics,Nutor Hall 100,Discussion
EE422 - Advanced Communication Systems,Science Lab,Lab
EE422 - Advanced Communication Systems,EE lab,Lecture
EE422 - Advanced Communication Systems,Bio Lab,Lecture
EE222 - Circuits and Electronics,EE lab,Lecture
EE222 - Circuits and Electronics,EE lab,Lab
EE320 - Signals & Systems,Fab Lab 203,Lab
EE320 - Signals & Systems,Fab Lab 203,Lecture
EE320 - Signals & Systems,Science Lab,Lecture
EE320 - Signals & Systems,EE lab,Lecture
EE321 - Communication Systems,Bio Lab,Lab
EE321 - Communication Systems,EE lab,Lecture
EE321 - Communication Systems,Bio Lab,Lecture
EE341 - AC Electrical Machines,EE lab,Lab
EE341 - AC Electrical Machines,EE lab,Lecture
EE342 - Electrical Machines and Power Electronics II,EE lab,Lab
EE342 - Electrical Machines and Power Electronics II,EE lab,Lecture
EE342 - Electrical Machines and Power Electronics II,Fab Lab 203,Lecture
EE421 - Digital and Analog Signal Processing in Telecommunications,Fab Lab 203,Lab
EE421 - Digital and Analog Signal Processing in Telecommunications,Fab Lab 203,Lecture
EE421 - Digital and Analog Signal Processing in Telecommunications,EE lab,Lab
EE421 - Digital and Analog Signal Processing in Telecommunications,Fab Lab 103,Lecture
EE442 - Power Electronics,EE lab,Lab
EE442 - Power Electronics,Science Lab,Lecture
EE442 - Power Electronics,Fab Lab 303,Lecture
EE451 - Power Engineering,EE lab,Lab
EE451 - Power Engineering,EE lab,Lecture
EE453 - Power Systems Analysis,EE lab,Lab
EE453 - Power Systems Analysis,EE lab,Lecture
EE453 - Power Systems Analysis,Science Lab,Lecture
EE453 - Power Systems Analysis,Fab Lab 303,Lecture
EE454 - Renewable Energy and Smart Grid,Bio Lab,Lab
EE454 - Renewable Energy and Smart Grid,Bio Lab,Lecture
ENG232 - African Folktales: How Stories Shape Us,Jackson Hall 116,Discussion
ENG232 - African Folktales: How Stories Shape Us,Radichel MPR,Lecture
ENGL112 - Written and Oral Communication,Jackson Hall 116,Lecture
ENGL112 - Written and Oral Communication,Jackson Lab 221,Discussion
ENGL112 - Written and Oral Communication,Jackson Lab 222,Lecture
ENGL112 - Written and Oral Communication,Jackson Lab 222,Discussion
ENGL112 - Written and Oral Communication,Apt Hall 216,Lecture
ENGL112 - Written and Oral Communication,Apt Hall 216,Discussion
ENGL112 - Written and Oral Communication,Apt Hall 217,Discussion
ENGL112 - Written and Oral Communication,Nutor Hall 115,Lecture
ENGL112 - Written and Oral Communication,Norton-Motulsky 207A,Discussion
ENGL112 - Written and Oral Communication,Radichel MPR,Lecture
ENGL112 - Written and Oral Communication,Radichel MPR,Discussion
ENGL112 - Written and Oral Communication,Jackson Hall 115,Lecture
ENGL112 - Written and Oral Communication,Jackson Lab 221,Lecture
ENGL112 - Written and Oral Communication,Nutor Hall 115,Discussion
ENGL112 - Written and Oral Communication,D-Lab 102,Lecture
ENGL112 - Written and Oral Communication,Jackson Hall 115,Discussion
ENGL113 - Text and Meaning,Norton-Motulsky 207A,Lecture
ENGL113 - Text and Meaning,Norton-Motulsky 207A,Discussion
ENGL113 - Text and Meaning,Jackson Hall 116,Lecture
ENGL113 - Text and Meaning,Jackson Lab 221,Discussion
ENGL113 - Text and Meaning,Radichel MPR,Lecture
ENGL113 - Text and Meaning,Radichel MPR,Discussion
ENGL113 - Text and Meaning,D-Lab 102,Discussion
ENGL113 - Text and Meaning,Science Lab,Lecture
ENGL113 - Text and Meaning,Nutor Hall 115,Discussion
ENGL113 - Text and Meaning,Nutor Hall 216,Lecture
ENGL113 - Text and Meaning,EE lab,Discussion
ENGR112 - Introduction to Engineering,Fab Lab 203,Lab
ENGR112 - Introduction to Engineering,Fab Lab 203,Lecture
ENGR112 - Introduction to Engineering,Science Lab,Lecture
ENGR212 - Instrumentation for Engineering,Fab Lab 203,Lecture
ENGR212-LAB - Instrumentation for Engineering - LAB,Fab Lab 203,Lab
ENGR212-LAB - Instrumentation for Engineering - LAB,Fab Lab 103,Lab
ENGR301 - Year III Group Project and Seminar,EE lab,Seminar
ENGR301 - Year III Group Project and Seminar,EE lab,Lab
ENGR301 - Year III Group Project and Seminar,EE lab,Lecture
ENGR311 - System Dynamics,Fab Lab 303,Lab
ENGR311 - System Dynamics,Fab Lab 303,Lecture
ENGR312 - Control Systems,Fab Lab 303,Lab
ENGR312 - Control Systems,Fab Lab 303,Lecture
ENGR401 - Senior Project  & Seminar,Databank Foundation Hall 218,Seminar
ENGR401 - Senior Project  & Seminar,Fab Lab 303,Seminar
ENGR401 - Senior Project  & Seminar,Nutor Hall 216,Seminar
ENGR412 - Synthetic Biological Engineering,Bio Lab,Lecture
ENGR412 - Synthetic Biological Engineering,Bio Lab,Lab
ENGR413 - Project Management and Professional Practice,Nutor Hall 216,Lecture
ENGR413 - Project Management and Professional Practice,Nutor Hall 216,Lab
ENGR444 - Automation and Production Systems,Bio Lab,Lab
ENGR444 - Automation and Production Systems,Fab Lab 203,Lecture
ENGR444 - Automation and Production Systems,Fab Lab 303,Lecture
ENGR461 - Financial Engineering,EE lab,Lecture
ENGR461 - Financial Engineering,Nutor Hall 100,Discussion
FRENC111 - Introductory French I,Jackson Lab 222,Lecture
FRENC111 - Introductory French I,Science Lab,Discussion
IS333 - IT Infrastructure and System Administration Lab,Jackson Lab 221,Lecture
IS333 - IT Infrastructure and System Administration Lab,D-Lab 102,Lab
IS351 - Systems Analysis and Design,Jackson Lab 222,Lecture
IS351 - Systems Analysis and Design,Jackson Lab 222,Lab
IS351 - Systems Analysis and Design,Nutor Hall 216,Lecture
IS351 - Systems Analysis and Design,Jackson Hall 116,Lab
IS362 - IS Project Management,Jackson Lab 221,Lecture
IS362 - IS Project Management,Jackson Lab 221,Lab
IS451 - Information and Systems Security,Apt Hall 216,Lecture
IS451 - Information and Systems Security,Nutor Hall 115,Lab
IS451 - Information and Systems Security,Nutor Hall 100,Lecture
IS451 - Information and Systems Security,Jackson Hall 115,Lab
MATH212 - Linear Algebra,Nutor Hall 115,Lecture
MATH212 - Linear Algebra,Apt Hall 217,Discussion
MATH212 - Linear Algebra,Apt Hall 217,Lab
MATH101 - College Algebra,Nutor Hall 115,Lecture
MATH101 - College Algebra,Nutor Hall 216,Lecture
MATH101 - College Algebra,Nutor Hall 115,Discussion
MATH121 - Pre-Calculus I,Jackson Lab 222,Lecture
MATH121 - Pre-Calculus I,Jackson Hall 116,Lecture
MATH121 - Pre-Calculus I,Science Lab,Discussion
MATH121 - Pre-Calculus I,Jackson Hall 115,Lecture
MATH121 - Pre-Calculus I,Jackson Hall 115,Discussion
MATH121 - Pre-Calculus I,Nutor Hall 100,Lecture
MATH121 - Pre-Calculus I,Norton-Motulsky 207A,Discussion
MATH121 - Pre-Calculus I,Databank Foundation Hall 218,Lecture
MATH121 - Pre-Calculus I,Fab Lab 203,Discussion
MATH121 - Pre-Calculus I,Fab Lab 203,Lecture
MATH122 - Pre-Calculus II,Jackson Hall 116,Lecture
MATH122 - Pre-Calculus II,Apt Hall 216,Lecture
MATH122 - Pre-Calculus II,Jackson Hall 115,Discussion
MATH122 - Pre-Calculus II,Radichel MPR,Lecture
MATH122 - Pre-Calculus II,Jackson Lab 221,Lecture
MATH122 - Pre-Calculus II,Nutor Hall 115,Discussion
MATH122 - Pre-Calculus II,Jackson Hall 115,Lecture
MATH141 - Calculus I,Jackson Hall 116,Lecture
MATH141 - Calculus I,Jackson Hall 116,Discussion
MATH142 - Calculus II,Jackson Hall 116,Lecture
MATH142 - Calculus II,Jackson Hall 116,Discussion
MATH144 - Applied Calculus,Jackson Hall 116,Lecture
MATH144 - Applied Calculus,Jackson Lab 221,Lecture
MATH144 - Applied Calculus,Bio Lab,Discussion
MATH144 - Applied Calculus,Jackson Hall 115,Lecture
MATH145 - Applied Calculus - Part I,Jackson Lab 221,Lecture
MATH145 - Applied Calculus - Part I,Jackson Hall 116,Discussion
MATH145 - Applied Calculus - Part I,Nutor Hall 216,Lecture
MATH145 - Applied Calculus - Part I,Nutor Hall 100,Discussion
MATH145 - Applied Calculus - Part I,Nutor Hall 100,Lecture
MATH146 - Applied Calculus - Part II,Jackson Hall 115,Lecture
MATH146 - Applied Calculus - Part II,Jackson Hall 115,Discussion
MATH146 - Applied Calculus - Part II,Jackson Hall 116,Discussion
MATH152 - Statistics for Engineering and Economics,Fab Lab 303,Lecture
MATH152 - Statistics for Engineering and Economics,Fab Lab 303,Discussion
MATH161 - Engineering Calculus,Fab Lab 203,Lecture
MATH161 - Engineering Calculus,Science Lab,Lecture
MATH211 - Multivariable Calculus and Linear Algebra,Jackson Lab 222,Lecture
MATH211 - Multivariable Calculus and Linear Algebra,Jackson Lab 222,Discussion
MATH211 - Multivariable Calculus and Linear Algebra,EE lab,Lecture
MATH211 - Multivariable Calculus and Linear Algebra,Apt Hall 217,Lecture
MATH221 - Statistics,Databank Foundation Hall 218,Discussion
MATH221 - Statistics,Databank Foundation Hall 218,Lecture
MATH221 - Statistics,Apt Hall 217,Discussion
MATH221 - Statistics,Apt Hall 217,Lecture
MATH221 - Statistics,Apt Hall 216,Discussion
MATH221 - Statistics,Jackson Hall 116,Lecture
MATH221 - Statistics,Databank Foundation Hall 218,Discussion
MATH223 - Quantitative Methods,Databank Foundation Hall 218,Lecture
MATH223 - Quantitative Methods,Nutor Hall 115,Discussion
MATH251 - Differential Equations and Numerical Methods,Fab Lab 303,Discussion
MATH251 - Differential Equations and Numerical Methods,Science Lab,Lecture
ME101 - Engineering Mechanics,Fab Lab 203,Lab
ME101 - Engineering Mechanics,Fab Lab 203,Lecture
ME212 - Thermodynamics,Fab Lab 303,Lab
ME212 - Thermodynamics,Fab Lab 303,Lecture
ME212 - Thermodynamics,Databank Foundation Hall 218,Lecture
ME301 - Mechanical Machine Design,Fab Lab 303,Lab
ME301 - Mechanical Machine Design,Fab Lab 303,Lecture
ME311 - Mechanics of Materials,Fab Lab 303,Lab
ME311 - Mechanics of Materials,Bio Lab,Lecture
ME311 - Mechanics of Materials,Fab Lab 103,Lab
ME311 - Mechanics of Materials,Fab Lab 103,Lecture
ME401 - Mechanics of Machines & Engineering Vibration,Science Lab,Lab
ME401 - Mechanics of Machines & Engineering Vibration,Fab Lab 303,Lecture
ME401 - Mechanics of Machines & Engineering Vibration,Fab Lab 103,Discussion
ME401 - Mechanics of Machines & Engineering Vibration,Fab Lab 103,Lecture
ME412 - Advanced Thermodynamics,D-Lab 102,Lab
ME412 - Advanced Thermodynamics,Bio Lab,Lecture
ME412 - Advanced Thermodynamics,Norton-Motulsky 207B,Lecture
ME422 - Heat Transfer,Science Lab,Lab
ME422 - Heat Transfer,Science Lab,Lecture
ME422 - Heat Transfer,Bio Lab,Lab
ME422 - Heat Transfer,Bio Lab,Lecture
ME431 - Fluid Mechanics,Bio Lab,Lecture
ME431 - Fluid Mechanics,D-Lab 102,Lab
ME432 - Computational Fluid Dynamics,Science Lab,Lab
ME432 - Computational Fluid Dynamics,Science Lab,Lecture
ME432 - Computational Fluid Dynamics,Norton-Motulsky 207B,Lecture
ME434 - Hydraulic & Fluid Machinery,D-Lab 102,Lab
ME434 - Hydraulic & Fluid Machinery,EE lab,Lecture
ME434 - Hydraulic & Fluid Machinery,Fab Lab 103,Lab
ME434 - Hydraulic & Fluid Machinery,Fab Lab 103,Lecture
ME441 - Manufacturing Processes,Fab Lab 203,Lecture
ME441 - Manufacturing Processes,Bio Lab,Lab
ME442 - Computer Aided Design and Manufacturing,Fab Lab 303,Lab
ME442 - Computer Aided Design and Manufacturing,Fab Lab 303,Lecture
ME444 - Advanced Mechanical Machine Design,Bio Lab,Lecture
ME444 - Advanced Mechanical Machine Design,Bio Lab,Lab
